id,name,typecode,addr,gcj,wgs,cell_id,wgs_lng,wgs_lat,kind
B0I2DZP216,品巢公寓,100200,万航渡路105号(静安寺地铁站1号口步行440米),"121.443061,31.225533","121.438454,31.227407",6661,121.438454,31.227407,hotel
B0FFGHER4F,国际贵都大饭店办公楼因私大厅,120201|100100,华山路228号贵都国际大饭店办公楼2楼,"121.444885,31.220022","121.440283,31.221902",6661,121.440283,31.221902,other
B0FFK3KDZT,swissotel,100100,上海宏安瑞士大酒店东北门旁,"121.447181,31.224891","121.442583,31.226773",6661,121.442583,31.226773,hotel
B0KAVN2FE9,且慢Homestay特色民宿(愚园路分店),100200,愚园路国际丽都公馆(静安寺地铁站1号口步行240米),"121.443473,31.223301","121.438867,31.225177",6661,121.438867,31.225177,hotel
B0JBYKO6O1,爱夏ya公寓(富民路1号分店),100200,富民路光华里(静安寺地铁站8号口步行370米),"121.450186,31.220067","121.445596,31.221957",6661,121.445596,31.221957,hotel
B0IRBNV27I,SammySun公寓(赵家桥路分店),100100,赵家桥路南京西路1522弄胶州大楼,"121.445225,31.225575","121.440623,31.227453",6661,121.440623,31.227453,hotel
B0LK1ZDKUC,静安酒店(世纪时空店),100105,愚园支路与乌鲁木齐北路交叉口东南40米,"121.442757,31.222448","121.438150,31.224323",6661,121.43815,31.224323,hotel
B0M6FDY0C7,上海新海洋之家民宿(上海静安寺南京西路陕西南路地铁站店),100200,巨鹿路与常熟路交叉口东北100米,"121.447625,31.218775","121.443029,31.220661",6661,121.443029,31.220661,hotel
B0FFF3AF6V,延安饭店东苑,100100,延安中路1111号(静安寺地铁站11号口步行340米),"121.449123,31.22031","121.444530,31.222198",6661,121.44453,31.222198,hotel
B0L3XG06IQ,Sammy民宿(静安寺南京西路三店),100200,愚园东路与常德路交叉口东120米,"121.448825,31.225275","121.444231,31.227160",6661,121.444231,31.22716,hotel
B0L3XS0JII,风风的民宿(静安寺/南京西路店),100200,赵家桥路与胶州路交叉口东100米,"121.445725,31.226125","121.441124,31.228004",6661,121.441124,31.228004,hotel
B0MAGCZLI9,老洋房公寓(上海巨鹿路店),100100,巨鹿路道路861(静安寺地铁站12号口步行460米),"121.448661,31.218535","121.444067,31.220423",6661,121.444067,31.220423,hotel
B0HR3CD8SI,延安饭店南楼,100100,延安中路1111号延安饭店,"121.448475,31.219825","121.443881,31.221712",6661,121.443881,31.221712,hotel
B0J0F4RNN7,冒泡家公寓(愚园支路分店),100100,世纪时空大厦(愚园支路)(静安寺地铁站1号口步行340米),"121.442775,31.222475","121.438168,31.224350",6661,121.438168,31.22435,hotel
B0JDVXM4UM,香格里拉大酒店礼宾部(静安嘉里中心店),100100,南京西路街道延安中路1218号静安香格里拉大酒店5903室,"121.450397,31.222996","121.445807,31.224885",6661,121.445807,31.224885,hotel
B0K3R14BEC,融旅饭店(延安中路店),050100|100100,延安中路辅路与延安高架路出口交叉口南100米,"121.447854,31.22058","121.443258,31.222465",6661,121.443258,31.222465,other
B0FFF2OJ3Y,云峰大饭店北楼,100104,北京西路1700号上海云峰大饭店,"121.442964,31.226431","121.438357,31.228305",6661,121.438357,31.228305,hotel
B0FFFZRXN3,百富商务酒店,100100,愚园路246弄10号百富商务楼,"121.443694,31.223525","121.439089,31.225401",6661,121.439089,31.225401,hotel
B0L1H9YMFW,云峰大饭店南楼,100100,北京西路与胶州路交叉口西140米,"121.443175,31.226125","121.438568,31.227999",6661,121.438568,31.227999,hotel
B0JRT96C0K,白领公寓(静安区),100200,延安中路1135弄延安饭店,"121.447829,31.219696","121.443233,31.221582",6661,121.443233,31.221582,hotel
B0MGZXKGUR,上海宏安瑞士大酒店礼宾部,100100,愚园路与常德路交叉口西南80米,"121.446975,31.224725","121.442377,31.226607",6661,121.442377,31.226607,hotel
B00155L8JU,上海明东大酒店,100100,北京西路1477号,"121.447939,31.226612","121.443343,31.228495",6661,121.443343,31.228495,hotel
B0LR0OQ6T3,上海云峰大饭店8号楼,100100,云峰大饭店北楼,"121.442825,31.226325","121.438218,31.228198",6661,121.438218,31.228198,hotel
B0LG5R3D0K,枫叶民宿(静安寺南京西路店),100200,胶州路与北京西路交叉口西北80米,"121.444075,31.226625","121.439470,31.228500",6661,121.43947,31.2285,hotel
B0M6JCF2AF,FuminapartmentJing'anDistriCT,100100,富民路与延安中路辅路交叉口东60米,"121.450275,31.221475","121.445685,31.223365",6661,121.445685,31.223365,hotel
B0K05HXHX1,卜宿民宿(静安寺南京西路店),100200,延安西路与乌鲁木齐北路交叉口西南160米,"121.442725,31.218475","121.438118,31.220352",6661,121.438118,31.220352,hotel
B0KKBUR8X5,kevin俞老洋房,100200,华山路与常熟路交叉口北100米,"121.446452,31.219319","121.441853,31.221202",6661,121.441853,31.221202,hotel
B0M62HVK13,YuGuEstateJing'anDistriCT,100100,乌鲁木齐北路与愚园支路交叉口西60米,"121.441775,31.222475","121.437166,31.224348",6661,121.437166,31.224348,hotel
B0K2AXR7QW,chris蒂娜的民宿(淮海路商区二店),100200,华山路与常熟路交叉口西北120米,"121.445975,31.219325","121.441375,31.221207",6661,121.441375,31.221207,hotel
B00155ILR2,上海宾馆(暂停营业),100103|050000,乌鲁木齐北路505号,"121.444336,31.217932","121.439733,31.219812",6661,121.439733,31.219812,hotel
B001537C96,上海国际贵都大饭店(暂停营业),100103|050000,延安西路65号,"121.444876,31.220012","121.440274,31.221892",6661,121.440274,31.221892,hotel
B0LB7HF16N,全季酒店(上海奉贤远东路店),100100,远东路2299弄37、41-43号4-7层及304室、40号、39号02室,"121.475109,30.924425","121.470617,30.926540",6882,121.470617,30.92654,hotel
B0FFGHP41M,锦江之星品尚(上海奉贤宝龙广场运河北路店),100105,南桥运河北路155号,"121.469251,30.92539","121.464740,30.927489",6882,121.46474,30.927489,hotel
B0JB2RXTA8,途家商旅酒店,100100,新建东路480号,"121.470489,30.920409","121.465982,30.922514",6882,121.465982,30.922514,hotel
B0FFGBBORW,美都生活广场,060100,南桥镇运河北路199号,"121.468157,30.925163","121.463642,30.927259",6882,121.463642,30.927259,mall
B0LDDRGJXM,欣欣商务酒店,100100,南桥运河北路151号,"121.469558,30.925781","121.465048,30.927881",6882,121.465048,30.927881,hotel
B0MDDZM62B,光启城,060101|060102,宜山路455号(宜山路地铁站出入口步行180米),"121.428514,31.183919","121.423885,31.185792",6403,121.423885,31.185792,mall
B0K12ZA68O,城际上海徐家汇中心酒店,100100|120000,中山西路1515号(宜山路地铁站5号口步行440米),"121.423331,31.187363","121.418695,31.189229",6403,121.418695,31.189229,hotel
B0I2DUUV7L,汉庭酒店(上海交大宜山路地铁站店),100100,宜山路250弄12号,"121.429208,31.189144","121.424580,31.191015",6403,121.42458,31.191015,hotel
B0LRP6Q9VV,全季酒店(上海徐家汇中心店),100105,蒲汇塘路158号,"121.43009,31.187996","121.425463,31.189869",6403,121.425463,31.189869,hotel
B0I6T6MIU3,全季上海徐家汇宜山路地铁站酒店,100105,徐虹中路20号西岸创意园(宜山路地铁站5号口步行170米),"121.424637,31.187923","121.420003,31.189790",6403,121.420003,31.18979,hotel
B0GK2KGF6M,格林豪泰智选酒店(上海徐汇徐家汇宜山路地铁站店),100105,徐虹北路8号(近宜山路地铁站),"121.42667,31.18878","121.422038,31.190648",6403,121.422038,31.190648,hotel
B0LR6AFZMD,汉庭酒店(上海体育馆宜山路地铁站店),100105,中山西路2025号(宜山路地铁站8号口步行150米),"121.427794,31.182725","121.423164,31.184598",6403,121.423164,31.184598,hotel
B00155LADA,绿汇商务酒店,100100,古宜路180弄3号(地铁9号线宜山路3号口步行20米),"121.425926,31.187353","121.421293,31.189221",6403,121.421293,31.189221,hotel
B0K3HZ38VK,汉庭酒店上海徐家汇交大宜山路店大堂,100100,宜山路250弄12号汉庭酒店(上海交大宜山路地铁站店),"121.429211,31.189246","121.424583,31.191117",6403,121.424583,31.191117,hotel
B0L6LUPTSI,百第老姚民宿(光大会展中心漕河泾二店),100200,田林街道中山西路2006号1幢405室,"121.425818,31.182672","121.421186,31.184542",6403,121.421186,31.184542,hotel
B0J11Z6AI4,白居易田林青年公寓,100201,中山西路1788弄99号(宜山路地铁站9号口步行460米),"121.4231,31.183324","121.418464,31.185191",6403,121.418464,31.185191,hotel
